    Time   CPU   Ave.Iters(2)  err(2)   CFL-U   CFL-V   CFL-W   
     0.4500      70.8750      64.1760   0.6302E-01       0.0403       0.0000       0.0938
     0.9000     135.9531      60.4920   0.5517E-01       0.0428       0.0000       0.0938
     1.3500     215.5469      64.6053   0.5496E-01       0.0428       0.0000       0.0938
     1.8000     284.7031      63.7370   0.5241E-01       0.0458       0.0000       0.0938
     2.2500     359.4062      64.5704   0.5287E-01       0.0501       0.0000       0.0961
     2.7000     428.7969      64.1320   0.5302E-01       0.0505       0.0000       0.0961
     3.1500     500.2656      64.1743   0.5473E-01       0.0534       0.0000       0.0961
     3.6000     575.3438      64.7495   0.5432E-01       0.0534       0.0000       0.0961
     4.0500     650.3906      65.1640   0.5373E-01       0.0534       0.0000       0.1005
     4.5000     726.5938      65.6624   0.5379E-01       0.0534       0.0000       0.1039
     4.9500     795.6562      65.3062   0.5489E-01       0.0572       0.0000       0.1098
     5.4000     877.8594      66.2500   0.5567E-01       0.0580       0.0000       0.1122
     5.8500     952.1406      66.3354   0.5665E-01       0.0580       0.0000       0.1122
     6.3000    1032.7656      66.9291   0.5707E-01       0.0580       0.0000       0.1232
     6.7500    1119.2812      67.9088   0.5759E-01       0.0811       0.0000       0.1344
     7.2000    1212.7969      69.2572   0.5802E-01       0.1511       0.0000       0.2129
